"Severity","ThreadID","Date","Time","Application","Message"
"Information","http-nio-8500-exec-6","02/26/21","17:35:31","","/Users/ajwietechaii/Desktop/ColdFusion/cfusion/logs/audit.log initialized"
"Information","http-nio-8500-exec-6","02/26/21","17:35:31","CFADMIN","User admin logged in."
"Information","http-nio-8500-exec-8","02/26/21","18:14:15","CFADMIN","User admin logged in."
"Information","http-nio-8500-exec-10","02/27/21","11:43:21","CFADMIN","User admin logged in."
"Information","http-nio-8500-exec-5","03/01/21","14:08:31","CFADMIN","User admin logged in."
"Information","http-nio-8500-exec-4","03/01/21","14:16:28","CFADMIN","User admin added datasource cf-app."
"Information","http-nio-8500-exec-10","03/01/21","14:20:27","","User admin deleted datasource cf-app."
"Information","http-nio-8500-exec-3","03/01/21","14:42:10","CFADMIN","User admin logged in."
"Information","http-nio-8500-exec-8","03/01/21","14:42:56","CFADMIN","User admin added datasource cf-app."
"Information","http-nio-8500-exec-9","03/02/21","21:37:05","CFADMIN","User admin logged in."
"Information","http-nio-8500-exec-7","03/02/21","21:38:08","CFADMIN"," 127.0.0.1 User admin logged out"
"Information","http-nio-8500-exec-6","03/02/21","21:38:25","CFADMIN","User admin logged in."
