"Severity","ThreadID","Date","Time","Application","Message"
"Information","main","02/26/21","17:34:49","","/Users/ajwietechaii/Desktop/ColdFusion/cfusion/logs/cfpm-audit.log initialized"
"Information","main","02/26/21","17:34:49","","Deploying bundle : felixclassloader"
"Information","main","02/26/21","17:34:49","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/felixclassloader-2021.0.0.323925.jar"
"Information","main","02/26/21","17:34:49","","ServiceRegistration for package : felixclassloader started"
"Information","main","02/26/21","17:34:49","","Deploying bundle : adminapi"
"Information","main","02/26/21","17:34:49","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/adminapi-2021.0.0.323925.jar"
"Information","main","02/26/21","17:34:49","","Deploying bundle : administrator"
"Information","main","02/26/21","17:34:49","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/administrator-2021.0.0.323925.jar"
"Information","FelixStartLevel","02/27/21","13:51:35","","ServiceRegistration for package : felixclassloader started"
"Information","main","02/27/21","13:51:36","","Deploying bundle : felixclassloader"
"Information","main","02/27/21","13:51:36","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/felixclassloader-2021.0.0.323925.jar"
"Information","main","02/27/21","13:51:36","","Deploying bundle : adminapi"
"Information","main","02/27/21","13:51:36","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/adminapi-2021.0.0.323925.jar"
"Information","main","02/27/21","13:51:36","","Deploying bundle : administrator"
"Information","main","02/27/21","13:51:36","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/administrator-2021.0.0.323925.jar"
"Information","FelixStartLevel","02/27/21","13:54:34","","ServiceRegistration for package : felixclassloader started"
"Information","main","02/27/21","13:54:34","","Deploying bundle : felixclassloader"
"Information","main","02/27/21","13:54:34","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/felixclassloader-2021.0.0.323925.jar"
"Information","main","02/27/21","13:54:34","","Deploying bundle : adminapi"
"Information","main","02/27/21","13:54:34","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/adminapi-2021.0.0.323925.jar"
"Information","main","02/27/21","13:54:34","","Deploying bundle : administrator"
"Information","main","02/27/21","13:54:34","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/administrator-2021.0.0.323925.jar"
"Information","FelixStartLevel","02/27/21","14:13:15","","ServiceRegistration for package : felixclassloader started"
"Information","main","02/27/21","14:13:15","","Deploying bundle : felixclassloader"
"Information","main","02/27/21","14:13:15","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/felixclassloader-2021.0.0.323925.jar"
"Information","main","02/27/21","14:13:15","","Deploying bundle : adminapi"
"Information","main","02/27/21","14:13:15","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/adminapi-2021.0.0.323925.jar"
"Information","main","02/27/21","14:13:15","","Deploying bundle : administrator"
"Information","main","02/27/21","14:13:15","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/administrator-2021.0.0.323925.jar"
"Information","FelixStartLevel","03/01/21","14:06:10","","ServiceRegistration for package : felixclassloader started"
"Information","main","03/01/21","14:06:10","","Deploying bundle : felixclassloader"
"Information","main","03/01/21","14:06:10","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/felixclassloader-2021.0.0.323925.jar"
"Information","main","03/01/21","14:06:10","","Deploying bundle : adminapi"
"Information","main","03/01/21","14:06:10","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/adminapi-2021.0.0.323925.jar"
"Information","main","03/01/21","14:06:10","","Deploying bundle : administrator"
"Information","main","03/01/21","14:06:10","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/administrator-2021.0.0.323925.jar"
"Information","FelixStartLevel","03/01/21","14:41:48","","ServiceRegistration for package : felixclassloader started"
"Information","main","03/01/21","14:41:48","","Deploying bundle : felixclassloader"
"Information","main","03/01/21","14:41:48","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/felixclassloader-2021.0.0.323925.jar"
"Information","main","03/01/21","14:41:48","","Deploying bundle : adminapi"
"Information","main","03/01/21","14:41:48","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/adminapi-2021.0.0.323925.jar"
"Information","main","03/01/21","14:41:48","","Deploying bundle : administrator"
"Information","main","03/01/21","14:41:48","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/administrator-2021.0.0.323925.jar"
"Information","FelixStartLevel","03/01/21","16:41:12","","ServiceRegistration for package : felixclassloader started"
"Information","main","03/01/21","16:41:12","","Deploying bundle : felixclassloader"
"Information","main","03/01/21","16:41:12","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/felixclassloader-2021.0.0.323925.jar"
"Information","main","03/01/21","16:41:12","","Deploying bundle : adminapi"
"Information","main","03/01/21","16:41:12","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/adminapi-2021.0.0.323925.jar"
"Information","main","03/01/21","16:41:12","","Deploying bundle : administrator"
"Information","main","03/01/21","16:41:12","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/administrator-2021.0.0.323925.jar"
"Information","FelixStartLevel","03/01/21","19:36:34","","ServiceRegistration for package : felixclassloader started"
"Information","main","03/01/21","19:36:34","","Deploying bundle : felixclassloader"
"Information","main","03/01/21","19:36:34","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/felixclassloader-2021.0.0.323925.jar"
"Information","main","03/01/21","19:36:34","","Deploying bundle : adminapi"
"Information","main","03/01/21","19:36:34","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/adminapi-2021.0.0.323925.jar"
"Information","main","03/01/21","19:36:34","","Deploying bundle : administrator"
"Information","main","03/01/21","19:36:34","","Installing the package : /Users/ajwietechaii/Desktop/ColdFusion/bundles/administrator-2021.0.0.323925.jar"
