"Severity","ThreadID","Date","Time","Application","Message"
"Information","main","02/26/21","17:34:46","","/Users/ajwietechaii/Desktop/ColdFusion/cfusion/logs/server.log initialized"
"Information","main","02/26/21","17:34:46","","Starting logging..."
"Information","main","02/26/21","17:34:46","","Starting license..."
"Information","main","02/26/21","17:34:47","","Developer Edition enabled"
"Information","main","02/26/21","17:34:47","","Starting crypto..."
"Information","main","02/26/21","17:34:48","","Installed JSafe JCE provider: Version 6.21 Crypto-J 6.2.1, EMC Corporation. JsafeJCE Security Provider (implements RSA, DSA, ECDSA, Diffie-Hellman, ECDH, AES, DES, Triple DES, DESX, RC2, RC4, RC5, PBE, MD2, MD5, RIPEMD160, SHA1, SHA224, SHA256, SHA384, SHA512, HMAC-MD5, HMAC-RIPEMD160, HMAC-SHA1, HMAC-SHA224, HMAC-SHA256, HMAC-SHA384, HMAC-SHA512, HMACDRBG, HASHDRBG, CTRDRBG, FIPS186PRNG, SHA1PRNG, MD5PRNG; RFC 3394, RFC 5649 AES Key Wrap; X.509 CertificateFactory; PKCS12, PKCS15 KeyStore; X.509V1, PKIX, PKIX-SuiteB, PKIX-SuiteBTLS CertPathValidators; X.509V1, PKIX, PKIX-SuiteB, PKIX-SuiteBTLS CertPathBuilders; LDAP, Collection CertStores)"
"Information","main","02/26/21","17:34:48","","Starting security..."
"Information","main","02/26/21","17:34:48","","Starting scheduler..."
"Information","main","02/26/21","17:34:48","","Starting WatchService..."
"Information","main","02/26/21","17:34:48","","Starting sql..."
"Information","main","02/26/21","17:34:48","","Starting runtime..."
"Information","main","02/26/21","17:34:49","","Starting client..."
"Information","main","02/26/21","17:34:49","","Starting archive..."
"Information","main","02/26/21","17:34:49","","Starting CloudConfig..."
"Information","main","02/26/21","17:34:49","","Starting VendorCredential..."
"Information","main","02/26/21","17:34:49","","Starting rest..."
"Information","main","02/26/21","17:34:49","","Starting registry..."
"Information","main","02/26/21","17:34:49","","Package adminapi started..."
"Information","main","02/26/21","17:34:49","","Package administrator started..."
"Information","main","02/26/21","17:34:49","","redissessionstorage package will not be deployed as it is not installed."
"Information","main","02/26/21","17:34:49","","debugger package will not be deployed as it is not installed."
"Information","main","02/26/21","17:34:49","","zip package will not be deployed as it is not installed."
"Information","main","02/26/21","17:34:49","","image package will not be deployed as it is not installed."
"Information","main","02/26/21","17:34:49","","caching package will not be deployed as it is not installed."
"Information","main","02/26/21","17:34:49","","cfmongodb package will not be deployed as it is not installed."
